semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,Unnamed: 8,status
364,Av. Norte Miguel Arraes de Alencar,Rua Prof. José dos Anjos,MANGABEIRA,-8.026245,-34.90549,E/Git,Veicular,1.0,funcionando
365,Av. João de Barros,Rua Joaquim Felipe,BOA VISTA,-8.053189,-34.889967,E,Veicular,1.0,funcionando
366,Av. Cons. Aguiar,Rua França Pereira,BOA VIAGEM,-8.106144,-34.889082,E/Git,Ocasional/Ped.,1.0,funcionando
367,Rua Sport Club do Recife,Rua José Múcio Monteiro,ILHA DO RETIRO,-8.061485,-34.902625,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
368,Av. Joaquim Ribeiro,Rua Francisco Torres,VÁRZEA,-8.030295,-34.957363,E/Git,Veicular,1.0,funcionando
369,Rua Padre Lemos,Em frente aos CORREIOS,CASA AMARELA,-8.022337,-34.919695,E,Ocasional/Ped.,1.0,funcionando
370,Av. 17 de Agosto,Praça do Monteiro,MONTEIRO,-8.027749,-34.928219,E/Git,Ocasional/Ped.,1.0,funcionando
371,Av. Gal. San Martin,Próximo a Rua Sigismundo Cabral de Melo,SAN MARTIN,-8.073416,-34.929589,E,Ocasional/Ped.,1.0,funcionando
372,Av. 17 de Agosto,Praça de Casa Forte ,CASA FORTE,-8.035731,-34.920195,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
373,Rua Estado de Israel,Rua Dr. João Ásfora,ILHA DO LEITE,-8.063488,-34.894867,E/Git,Veicular,1.0,funcionando
374,Av. Professor Luiz Freire,Em frente à CEFET,CIDADE UNIVERSITÁRIA,-8.058509,-34.949579,E,Ocasional/Ped.,1.0,funcionando
375,Av. Abdias de Carvalho,Av. do Forte,TORRÕES,-8.062545,-34.932194,E/Git,Veic.C/Ped.,1.0,funcionando
376,Av. Norte Miguel Arraes de Alencar,Rua Guadalupe,TORREÃO,-8.040395,-34.886885,E/Git,Veicular,1.0,funcionando
377,Rua Marechal Deodoro,Rua Castro Alves,TORREÃO,-8.039653,-34.887309,E/Git,Veicular,1.0,funcionando
378,Av. Gov. Agamenon Magalhães,"Em frente ao Nº 674, (Sentido Olinda)",SANTO AMARO,-8.041235,-34.881592,E/Git,Ocasional/Ped.,1.0,funcionando
